run_name,gamma,lr,batch_size,steps,final_mean_reward
policy-CnnPolicy_lr-0.0001_gamma-0.9_batch-32_eps_start-1.0_eps_end-0.05_eps_decay-250000,0.9,0.0001,32,200000,6.34

policy-CnnPolicy_lr-0.0001_gamma-0.95_batch-32_eps_start-1.0_eps_end-0.05_eps_decay-250000,0.95,0.0001,32,200000,7.6
policy-CnnPolicy_lr-0.0001_gamma-0.98_batch-32_eps_start-1.0_eps_end-0.05_eps_decay-250000,0.98,0.0001,32,200000,12.4 
policy-CnnPolicy_lr-0.0001_gamma-0.99_batch-32_eps_start-1.0_eps_end-0.05_eps_decay-250000,0.99,0.0001,32,200000,11.4
policy-CnnPolicy_lr-0.0001_gamma-0.995_batch-32_eps_start-1.0_eps_end-0.05_eps_decay-250000,0.995,0.0001,32,200000,9.4
policy-CnnPolicy_lr-5e-05_gamma-0.98_batch-32_eps_start-1.0_eps_end-0.05_eps_decay-250000,0.98,5e-05,32,200000,3.4
policy-CnnPolicy_lr-0.00025_gamma-0.98_batch-32_eps_start-1.0_eps_end-0.05_eps_decay-250000,0.98,0.00025,32,200000,13.6
policy-CnnPolicy_lr-0.0005_gamma-0.98_batch-32_eps_start-1.0_eps_end-0.05_eps_decay-250000,0.98,0.0005,32,200000,21.6
policy-CnnPolicy_lr-0.0001_gamma-0.98_batch-64_eps_start-1.0_eps_end-0.05_eps_decay-250000,0.98,0.0001,64,200000,12.0
policy-CnnPolicy_lr-0.0001_gamma-0.98_batch-128_eps_start-1.0_eps_end-0.05_eps_decay-250000,0.98,0.0001,128,200000,10.4
